Divipola,Nombre,Indicativo
00,Colombia,57
05,Antioquia,604
08,Atlantico,605
11,Bogota D.C.,601
13,Bolivar,605
15,Boyaca,608
17,Caldas,606
18,Caqueta,608
19,Cauca,602
20,Cesar,605
23,Cordoba,604
25,Cundinamarca,601
27,Choco,604
41,Huila,608
44,La Guajira,605
47,Magdalena,605
50,Meta,608
52,Nariño,602
54,Norte De Santander,607
63,Quindio,606
66,Risaralda,606
68,Santander,607
70,Sucre,605
73,Tolima,608
76,Valle Del Cauca,602
81,Arauca,607
85,Casanare,608
86,Putumayo,608
88,San Andres,608
91,Amazonas,608
94,Guainia,608
95,Guaviare,608
97,Vaupes,608
99,Vichada,608
