Divipola,Nombre,Indicativo
05001,Medellín,604
05002,Abejorral,604
05004,Abriaquí,604
05021,Alejandría,604
05030,Amagá,604
05031,Amalfi,604
05034,Andes,604
05036,Angelópolis,604
05038,Angostura,604
05040,Anorí,604
05042,Santafé de Antioquia,604
05044,Anza,604
05045,Apartadó,604
05051,Arboletes,604
05055,Argelia,604
05059,Armenia,604
05079,Barbosa,604
05086,Belmira,604
05088,Bello,604
05091,Betania,604
05093,Betulia,604
05101,Ciudad Bolívar,604
05107,Briceño,604
05113,Buriticá,604
05120,Cáceres,604
05125,Caicedo,604
05129,Caldas,604
05134,Campamento,604
05138,Cañasgordas,604
05142,Caracolí,604
05145,Caramanta,604
05147,Carepa,604
05148,El Carmen de Viboral,604
05150,Carolina,604
05154,Caucasia,604
05172,Chigorodó,604
05190,Cisneros,604
05197,Cocorná,604
05206,Concepción,604
05209,Concordia,604
05212,Copacabana,604
05234,Dabeiba,604
05237,Don Matías,604
05240,Ebéjico,604
05250,El Bagre,604
05264,Entrerrios,604
05266,Envigado,604
05282,Fredonia,604
05284,Frontino,604
05306,Giraldo,604
05308,Girardota,604
05310,Gómez Plata,604
05313,Granada,604
05315,Guadalupe,604
05318,Guarne,604
05321,Guatapé,604
05347,Heliconia,604
05353,Hispania,604
05360,Itagüi,604
05361,Ituango,604
05364,Jardín,604
05368,Jericó,604
05376,La Ceja,604
05380,La Estrella,604
05390,La Pintada,604
05400,La Unión,604
05411,Liborina,604
05425,Maceo,604
05440,Marinilla,604
05467,Montebello,604
05475,Murindó,604
05480,Mutatá,604
05483,Nariño,604
05490,Necoclí,604
05495,Nechí,604
05501,Olaya,604
05541,Peñol,604
05543,Peque,604
05576,Pueblorrico,604
05579,Puerto Berrío,604
05585,Puerto Nare,604
05591,Puerto Triunfo,604
05604,Remedios,604
05607,Retiro,604
05615,Rionegro,604
05628,Sabanalarga,604
05631,Sabaneta,604
05642,Salgar,604
05647,San Andrés de Cuerquía,604
05649,San Carlos,604
05652,San Francisco,604
05656,San Jerónimo,604
05658,San José de La Montaña,604
05659,San Juan de Urabá,604
05660,San Luis,604
05664,San Pedro,604
05665,San Pedro de Uraba,604
05667,San Rafael,604
05670,San Roque,604
05674,San Vicente,604
05679,Santa Bárbara,604
05686,Santa Rosa de Osos,604
05690,Santo Domingo,604
05697,El Santuario,604
05736,Segovia,604
05756,Sonson,604
05761,Sopetrán,604
05789,Támesis,604
05790,Tarazá,604
05792,Tarso,604
05809,Titiribí,604
05819,Toledo,604
05837,Turbo,604
05842,Uramita,604
05847,Urrao,604
05854,Valdivia,604
05856,Valparaíso,604
